Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,subject,run,day,group,good
AV,5.0,1.6407399217852322e-15,5.888753961929094e-05,3.882054207114883e-09,-12.466936416855384,-4.8397322966887186e-08,16,25,hbr,True,S16_D25 hbr,201,1,1,trained,True
V,5.0,1.6407399217852322e-15,9.69137294359735e-06,3.8580141895149804e-09,-18.010927165438996,-6.948641257058448e-08,16,25,hbr,True,S16_D25 hbr,201,1,1,trained,True
W,5.0,1.6407399217852322e-15,0.09890105426970629,3.780307298038682e-09,-2.0237111167974,-7.650249903951223e-09,16,25,hbr,False,S16_D25 hbr,201,1,1,trained,True
constant,5.0,1.6407399217852322e-15,0.00018079774417282548,8.22691228227676e-10,9.883804768645483,8.131319484679513e-09,16,25,hbr,True,S16_D25 hbr,201,1,1,trained,True
A,5.0,1.0639183408494561e-14,0.008315884753424645,9.819508492533352e-09,4.221491662827629,4.145297323429464e-08,16,26,hbo,True,S16_D26 hbo,201,1,1,trained,True
AV,5.0,1.0639183408494561e-14,6.0270109263096974e-05,9.88543695239313e-09,12.407617074276276,1.2265471631719463e-07,16,26,hbo,True,S16_D26 hbo,201,1,1,trained,True
V,5.0,1.0639183408494561e-14,5.840672603365698e-06,9.824220373324575e-09,19.954697001879154,1.9603934082938e-07,16,26,hbo,True,S16_D26 hbo,201,1,1,trained,True
W,5.0,1.0639183408494561e-14,0.0019040781558943532,9.626344059529797e-09,5.958681969471526,5.736032277944953e-08,16,26,hbo,True,S16_D26 hbo,201,1,1,trained,True
constant,5.0,1.0639183408494561e-14,0.0002187930532173059,2.0949378432239092e-09,-9.497380976689596,-1.9896422819581887e-08,16,26,hbo,True,S16_D26 hbo,201,1,1,trained,True
A,5.0,2.114876811206228e-15,0.0004071410264729159,4.3780240189460506e-09,8.332072493269978,3.647801350313567e-08,16,26,hbr,True,S16_D26 hbr,201,1,1,trained,True
AV,5.0,2.114876811206228e-15,0.0019296713801200153,4.407418196976214e-09,5.9408995663264195,2.6184028855035162e-08,16,26,hbr,True,S16_D26 hbr,201,1,1,trained,True
