Condition,Chroma,ch_name,subject,day,group,theta
W,hbr,S14_D22 hbr,201,3,trained,-5.8838765738150504e-09
constant,hbr,S14_D22 hbr,201,1,trained,8.010087233703868e-09
constant,hbr,S14_D22 hbr,201,3,trained,6.17529119073731e-09
A,hbo,S14_D24 hbo,201,1,trained,-8.21235502421007e-08
A,hbo,S14_D24 hbo,201,3,trained,-3.458639646001786e-09
AV,hbo,S14_D24 hbo,201,1,trained,-1.0578566407292971e-07
AV,hbo,S14_D24 hbo,201,3,trained,-2.1138686358485593e-08
V,hbo,S14_D24 hbo,201,1,trained,-1.7736516174895684e-08
V,hbo,S14_D24 hbo,201,3,trained,-6.552805770283708e-09
W,hbo,S14_D24 hbo,201,1,trained,1.1928676194724943e-08
W,hbo,S14_D24 hbo,201,3,trained,-1.3444263910645428e-08
constant,hbo,S14_D24 hbo,201,1,trained,1.30498063951524e-08
constant,hbo,S14_D24 hbo,201,3,trained,3.6214806155033735e-09
A,hbr,S14_D24 hbr,201,1,trained,-7.767966111987317e-09
A,hbr,S14_D24 hbr,201,3,trained,5.125435555650316e-09
AV,hbr,S14_D24 hbr,201,1,trained,-3.172884110512631e-08
AV,hbr,S14_D24 hbr,201,3,trained,9.472548381168848e-09
V,hbr,S14_D24 hbr,201,1,trained,1.1841508603205447e-08
V,hbr,S14_D24 hbr,201,3,trained,-9.473218143976483e-09
W,hbr,S14_D24 hbr,201,1,trained,-1.621252185874393e-08
W,hbr,S14_D24 hbr,201,3,trained,-1.9530436010888665e-08
constant,hbr,S14_D24 hbr,201,1,trained,4.226272119706863e-09
constant,hbr,S14_D24 hbr,201,3,trained,1.259862733371354e-09
A,hbo,S14_D26 hbo,201,1,trained,-3.688005579821145e-08
A,hbo,S14_D26 hbo,201,3,trained,5.195257398215924e-09
AV,hbo,S14_D26 hbo,201,1,trained,7.865375925374292e-08
AV,hbo,S14_D26 hbo,201,3,trained,1.7166678810084308e-07
V,hbo,S14_D26 hbo,201,1,trained,1.6235239163774623e-07
V,hbo,S14_D26 hbo,201,3,trained,5.6755583414266045e-08
W,hbo,S14_D26 hbo,201,1,trained,1.33557840491001e-07
W,hbo,S14_D26 hbo,201,3,trained,8.815813050606106e-08
constant,hbo,S14_D26 hbo,201,1,trained,-1.3735637220997267e-08
constant,hbo,S14_D26 hbo,201,3,trained,-1.1399006125306643e-08
A,hbr,S14_D26 hbr,201,1,trained,-3.704984399946288e-08
A,hbr,S14_D26 hbr,201,3,trained,-1.0957012683249625e-07
AV,hbr,S14_D26 hbr,201,1,trained,-8.370084524367552e-08
AV,hbr,S14_D26 hbr,201,3,trained,-6.370801547979374e-08
V,hbr,S14_D26 hbr,201,1,trained,-2.2669815316193456e-08
V,hbr,S14_D26 hbr,201,3,trained,-8.577964262850569e-08
W,hbr,S14_D26 hbr,201,1,trained,-6.19117537967339e-08
W,hbr,S14_D26 hbr,201,3,trained,-7.079251283412085e-08
constant,hbr,S14_D26 hbr,201,1,trained,1.3155482358149276e-08
constant,hbr,S14_D26 hbr,201,3,trained,1.7837146391908417e-08
A,hbo,S15_D11 hbo,201,1,trained,-3.4505751067797644e-08
A,hbo,S15_D11 hbo,201,3,trained,2.7450416353421143e-08
AV,hbo,S15_D11 hbo,201,1,trained,4.2478650614304736e-08
AV,hbo,S15_D11 hbo,201,3,trained,1.9672362952677052e-08
V,hbo,S15_D11 hbo,201,1,trained,2.3477939954075536e-08
V,hbo,S15_D11 hbo,201,3,trained,-6.200936937496716e-08
W,hbo,S15_D11 hbo,201,1,trained,5.0998716182873415e-08
W,hbo,S15_D11 hbo,201,3,trained,1.7318443025743418e-09
constant,hbo,S15_D11 hbo,201,1,trained,-4.52635361268839e-09
constant,hbo,S15_D11 hbo,201,3,trained,1.2273769192677854e-09
A,hbr,S15_D11 hbr,201,1,trained,1.2528937547472677e-08
A,hbr,S15_D11 hbr,201,3,trained,-5.7794031144760877e-08
AV,hbr,S15_D11 hbr,201,1,trained,-3.2317246332423046e-08
AV,hbr,S15_D11 hbr,201,3,trained,-1.3563986444230284e-08
V,hbr,S15_D11 hbr,201,1,trained,2.9894300214167674e-08
V,hbr,S15_D11 hbr,201,3,trained,-2.240647798124509e-08
W,hbr,S15_D11 hbr,201,1,trained,-2.3992429194652077e-08
W,hbr,S15_D11 hbr,201,3,trained,-9.653473977775116e-08
constant,hbr,S15_D11 hbr,201,1,trained,3.4737071466960672e-09
constant,hbr,S15_D11 hbr,201,3,trained,1.7044746904516365e-08
A,hbo,S15_D14 hbo,201,1,trained,-4.8914368846083505e-08
A,hbo,S15_D14 hbo,201,3,trained,-1.3575671868402506e-08
AV,hbo,S15_D14 hbo,201,1,trained,-3.038767504643946e-08
AV,hbo,S15_D14 hbo,201,3,trained,9.055257524679215e-08
V,hbo,S15_D14 hbo,201,1,trained,2.0121836216921846e-08
V,hbo,S15_D14 hbo,201,3,trained,-3.419296390190724e-09
W,hbo,S15_D14 hbo,201,1,trained,9.074115253463685e-09
W,hbo,S15_D14 hbo,201,3,trained,-4.3771416870341536e-08
constant,hbo,S15_D14 hbo,201,1,trained,6.0804442645958805e-09
constant,hbo,S15_D14 hbo,201,3,trained,2.564289546205823e-09
A,hbr,S15_D14 hbr,201,1,trained,4.0374718647527054e-08
A,hbr,S15_D14 hbr,201,3,trained,8.385363993604722e-08
AV,hbr,S15_D14 hbr,201,1,trained,5.6755356223942933e-08
AV,hbr,S15_D14 hbr,201,3,trained,-6.98235602335356e-08
V,hbr,S15_D14 hbr,201,1,trained,2.077386117399509e-08
V,hbr,S15_D14 hbr,201,3,trained,-1.3647486763663907e-08
W,hbr,S15_D14 hbr,201,1,trained,-2.0631148349920145e-08
W,hbr,S15_D14 hbr,201,3,trained,4.8332002558947426e-08
constant,hbr,S15_D14 hbr,201,1,trained,-5.154438182574299e-09
constant,hbr,S15_D14 hbr,201,3,trained,-7.71839294058649e-09
A,hbo,S15_D25 hbo,201,1,trained,-6.728805462514029e-08
A,hbo,S15_D25 hbo,201,3,trained,8.553813783172579e-08
AV,hbo,S15_D25 hbo,201,1,trained,-1.0994725382974299e-08
AV,hbo,S15_D25 hbo,201,3,trained,1.6630909371776678e-07
V,hbo,S15_D25 hbo,201,1,trained,1.937502540384548e-09
V,hbo,S15_D25 hbo,201,3,trained,4.1334150956099033e-08
W,hbo,S15_D25 hbo,201,1,trained,1.0499592228097619e-08
W,hbo,S15_D25 hbo,201,3,trained,-1.2141734024130058e-09
constant,hbo,S15_D25 hbo,201,1,trained,3.7154250881141503e-09
constant,hbo,S15_D25 hbo,201,3,trained,-3.282091576103964e-08
A,hbr,S15_D25 hbr,201,1,trained,4.403128962663103e-08
A,hbr,S15_D25 hbr,201,3,trained,-8.211153606601186e-08
